Model,Dataset,linear_sparsity,q_sparsity,s_sparsity
llava_vid,videomme,0.5787517040967941,0.6745603175035545,0.580766528348128
llava_vid,mlvu,0.3981713593006134,0.603928359065737,0.5399106820976293
llava_vid,mvbench,0.5335268287360668,0.6373441694091473,0.2293205799853442
llava_onevision,videomme,0.4900350779294967,0.4185412440981184,0.3212133919199307
llava_onevision,mlvu,0.356823980808258,0.3621601960222635,0.3043646151406897
llava_onevision,mvbench,0.6537499983608722,0.5252877848036587,0.4000940868230881
minicpm_v,videomme,0.5600345432758331,0.6538252488843033,0.6118955817487505
minicpm_v,mlvu,0.3137484312057495,0.5372650976691927,0.561528832272247
minicpm_v,mvbench,0.4026778020709753,0.6233568766659924,0.1915599766673889
