model,dataset,selected_layers,alpha_list,similarity_threshold
llava_vid,videomme,"[3, 6, 9, 18, 26]","[0.4, 0.3, 0.2, 0.15, 0.1]",0.9
llava_vid,mlvu,"[3, 6, 9, 18, 26]","[0.4, 0.3, 0.2, 0.15, 0.1]",0.9
llava_vid,mvbench,"[3, 6, 9, 18, 26]","[0.4, 0.3, 0.2, 0.15, 0.1]",0.9
llava_onevision,videomme,"[2, 5, 8, 16, 25]","[0.4, 0.3, 0.2, 0.15, 0.1]",0.9
llava_onevision,mlvu,"[2, 5, 8, 16, 25]","[0.4, 0.3, 0.2, 0.15, 0.1]",0.9
llava_onevision,mvbench,"[2, 5, 8, 16, 25]","[0.4, 0.3, 0.25, 0.2, 0.1]",0.9
minicpm_v,videomme,"[2, 5, 8, 16, 25]","[0.4, 0.3, 0.2, 0.15, 0.1]",0.95
minicpm_v,mlvu,"[2, 5, 8, 16, 25]","[0.4, 0.3, 0.2, 0.15, 0.1]",0.95
minicpm_v,mvbench,"[2, 5, 8, 16, 25]","[0.4, 0.3, 0.2, 0.15, 0.1]",0.9
llava_onevision,vqav2,"[2, 5, 8, 16, 25]","[0.4, 0.3, 0.2, 0.15, 0.1]",0.9
llava_onevision,mme,"[2, 5, 8, 16, 25]","[0.4, 0.3, 0.2, 0.15, 0.1]",0.9
llava_onevision,mmbench,"[2, 5, 8, 16, 25]","[0.4, 0.3, 0.2, 0.15, 0.1]",0.9
qwen2_5_vl,vqav2,"[10, 15, 20]","[0.3, 0.2, 0.1]",0.9
qwen2_5_vl,mme,"[10, 15, 20]","[0.3, 0.2, 0.1]",0.9
qwen2_5_vl,mmbench,"[10, 15, 20]","[0.3, 0.2, 0.1]",0.9
default,,"[2, 5, 8, 16, 25]","[0.4, 0.3, 0.2, 0.15, 0.1]",0.9
