model,dataset,accelerator,execution_time,total_cycles,total_compute_cycles,total_stall_cycles,total_energy,total_dram_access,dram_bandwidth,dense_ops,num_ops,mem_counter_total,total_activation,total_compression_ratio,dram_energy,sram_energy,core_energy,block_size
llava_vid,videomme,focus,35.831182912,17915591456.0,16812390896.0,1103200560.0,63758.288330742085,373807801536.0,22.234065567969648,89621908160512,14634802337792,mem_counter,44977671232,tensor(2.1170),37373.30399756929,8606.757234868124,17778.227098304676,2x3x3
llava_vid,videomme,focus,45.805563328,22902781664.0,22078943432.0,823838232.0,82491.9249249215,487718670912.0,22.08976495701001,89621908160512,20014955475200,mem_counter,46962646080,tensor(1.4225),48762.11271778177,11002.633224214387,22727.17898292536,1x2x2
llava_vid,videomme,focus,42.783496448,21391748224.0,20759632264.0,632115960.0,76644.8905544648,451494656192.0,21.74868275364167,89621908160512,18640132817152,mem_counter,46629280832,tensor(1.3068),45140.43572607617,10276.723726680486,21227.731101708137,2x1x1
llava_vid,videomme,focus,36.279003712,18139501856.0,17126334400.0,1013167456.0,64722.50205561005,380153592896.0,22.19702033238356,89621908160512,14953789509120,mem_counter,45131322432,tensor(1.9678),38007.75621774208,8714.325129564495,18000.42070830347,3x2x2
llava_vid,videomme,focus,37.147636736,18573818368.0,17587256624.0,986561744.0,66358.43686997358,390118586816.0,22.18188971460362,89621908160512,15422732498432,mem_counter,45306952768,tensor(1.8808),39004.056309863685,8922.973378273406,18431.407181836486,2x2x2
llava_vid,videomme,focus,55.916575232,27958287616.0,27408643248.0,549644368.0,100122.6674710666,589592079936.0,21.511173486452027,89621908160512,25412927819776,mem_counter,49154716736,tensor(1.),58947.416152001286,13431.328505369773,27743.92281369554,1x1x1
llava_vid,videomme,focus,44.067700992,22033850496.0,21156984408.0,876866088.0,79291.93780478365,468512043712.0,22.144556836504712,89621908160512,19079421279744,mem_counter,46557006912,tensor(1.5809),46841.83413032577,10585.193496636668,21864.91017782121,1x3x3
llava_vid,videomme,focus,34.935578944,17467789472.0,16326232944.0,1141556528.0,62041.0791263008,363228546624.0,22.248154113070456,89621908160512,14138447995392,mem_counter,44795882560,tensor(2.2284),36315.59009146752,8391.630484794265,17333.858550039015,3x3x3
llava_vid,videomme,focus,41.763335488,20881667744.0,20232009896.0,649657848.0,74766.61243162319,440221772864.0,21.758677221240127,89621908160512,18101857928448,mem_counter,46421696576,tensor(1.3564),44013.372850942724,10031.678014827376,20721.561565853084,3x1x1
