model,dataset,accelerator,execution_time,total_cycles,total_compute_cycles,total_stall_cycles,total_energy,total_dram_access,dram_bandwidth,dense_ops,num_ops,mem_counter_total,total_activation,total_compression_ratio,dram_energy,sram_energy,core_energy
llava_vid,videomme,focus,37.684131968,18842065984.0,17860377584.0,981688400.0,67352.57138004969,396110543936.0,22.178173001832324,89621908160512,15703322290432,mem_counter,45403761728,tensor(1.8500),39603.13218272128,9051.841136584051,18697.59806074435
llava_vid,mlvu,focus,45.127582976,22563791488.0,21701432424.0,862359064.0,81183.25767222195,479622818624.0,22.10097514547365,89621908160512,19629649699072,mem_counter,46797127744,tensor(1.5089),47952.68940602752,10839.780317180715,22390.78794901372
llava_vid,mvbench,focus,8.462303584,4231151792.0,4165902384.0,65249408.0,15424.489649562918,91949477764.0,22.0719232685698,16000598548480,3512961328128,mem_counter,2924129664,tensor(1.5665),9193.10878684472,2032.6706147022128,4198.710248015984
llava_onevision,videomme,focus,19.353046272,9676523136.0,9391611656.0,284911480.0,34995.46636908071,207486262808.0,22.092721718901533,44874254516224,8319064146176,mem_counter,12376443160,tensor(1.5889),20744.476555543843,4648.659560789708,9602.33025274716
llava_onevision,mlvu,focus,22.060665088,11030332544.0,10757430824.0,272901720.0,39981.156082303634,237411070232.0,22.069495413564,44874254516224,9716268694272,mem_counter,12882830616,tensor(1.3619),23736.358801795363,5299.037693465548,10945.759587042729
llava_onevision,mvbench,focus,16.85230624,8426153120.0,7878532592.0,547620528.0,29851.99669749492,174459643512.0,22.143672247944924,44874254516224,6572848703232,mem_counter,12479533432,tensor(2.3209),17442.475158329762,4047.974330391352,8361.547208773798
minicpm_v,videomme,focus,39.802262304,19901131152.0,19008262448.0,892868704.0,70751.87708471989,414510018608.0,21.806833725173743,99383739678720,17051471243520,mem_counter,44734790704,tensor(1.4827),41442.71166042784,9560.622374382829,19748.54304990921
minicpm_v,mlvu,focus,49.056402528,24528201264.0,23730114576.0,798086688.0,87718.43193214576,516051224496.0,21.74668069314424,99383739678720,21872803233792,mem_counter,46494020656,tensor(1.1889),51594.80142511008,11783.49451681276,24340.13599022292
minicpm_v,mvbench,focus,2.437430576,1218715288.0,1213170504.0,5544784.0,4478.562009212427,26842497268.0,22.12590660545766,2639383240704,634138383872,mem_counter,276625952,tensor(1.1773),2683.7128768546404,585.4781098351917,1209.3710225225952
